"time","latitude","longitude","sst"
"2022-01-01T00:00:00Z",1.979165963,-89.854165946,24.415
"2022-01-01T00:00:00Z",1.979165963,-89.812499279,24.295
"2022-01-01T00:00:00Z",1.979165963,-89.770832612,24.46
"2022-01-01T00:00:00Z",1.979165963,-89.729165945,24.745
"2022-01-01T00:00:00Z",1.979165963,-89.687499278,24.84
"2022-01-01T00:00:00Z",1.979165963,-89.645832611,24.84
"2022-01-01T00:00:00Z",1.979165963,-89.604165944,24.905
"2022-01-01T00:00:00Z",1.979165963,-89.562499277,24.835
"2022-01-01T00:00:00Z",1.979165963,-89.52083261,24.765
"2022-01-01T00:00:00Z",1.979165963,-89.479165943,24.7
"2022-01-01T00:00:00Z",1.979165963,-89.437499276,24.8
"2022-01-01T00:00:00Z",1.979165963,-89.395832609,24.4
"2022-01-01T00:00:00Z",1.979165963,-89.354165942,24.05
"2022-01-01T00:00:00Z",1.979165963,-89.312499275,24.645
"2022-01-01T00:00:00Z",1.979165963,-89.270832608,24.4
"2022-01-01T00:00:00Z",1.979165963,-89.229165941,24.195
"2022-01-01T00:00:00Z",1.979165963,-89.187499274,24.55
"2022-01-01T00:00:00Z",1.979165963,-89.145832607,24.59
"2022-01-01T00:00:00Z",1.979165963,-89.10416594,24.465
"2022-01-01T00:00:00Z",1.979165963,-89.062499273,24.735
"2022-01-01T00:00:00Z",1.979165963,-89.020832606,24.96
"2022-01-01T00:00:00Z",1.93749929600001,-92.02083263,24.825
"2022-01-01T00:00:00Z",1.93749929600001,-91.979165963,24.85
"2022-01-01T00:00:00Z",1.93749929600001,-91.937499296,24.845
"2022-01-01T00:00:00Z",1.93749929600001,-91.895832629,24.795
"2022-01-01T00:00:00Z",1.93749929600001,-91.854165962,24.63
"2022-01-01T00:00:00Z",1.93749929600001,-91.812499295,24.45
"2022-01-01T00:00:00Z",1.93749929600001,-91.770832628,24.48
"2022-01-01T00:00:00Z",1.93749929600001,-91.729165961,24.72
"2022-01-01T00:00:00Z",1.93749929600001,-91.687499294,24.83
"2022-01-01T00:00:00Z",1.93749929600001,-91.645832627,24.985
"2022-01-01T00:00:00Z",1.93749929600001,-91.60416596,25.225
"2022-01-01T00:00:00Z",1.93749929600001,-91.562499293,25.285
"2022-01-01T00:00:00Z",1.93749929600001,-91.520832626,25.095
"2022-01-01T00:00:00Z",1.93749929600001,-91.479165959,25.12
"2022-01-01T00:00:00Z",1.93749929600001,-91.437499292,24.54
"2022-01-01T00:00:00Z",1.93749929600001,-91.395832625,24.24
"2022-01-01T00:00:00Z",1.93749929600001,-91.354165958,24.17
"2022-01-01T00:00:00Z",1.93749929600001,-91.312499291,24.405
"2022-01-01T00:00:00Z",1.93749929600001,-91.270832624,24.46
"2022-01-01T00:00:00Z",1.93749929600001,-91.229165957,24.485
"2022-01-01T00:00:00Z",1.93749929600001,-91.18749929,24.44
"2022-01-01T00:00:00Z",1.93749929600001,-91.145832623,24.43
"2022-01-01T00:00:00Z",1.93749929600001,-91.104165956,24.335
"2022-01-01T00:00:00Z",1.93749929600001,-91.062499289,24.495
"2022-01-01T00:00:00Z",1.93749929600001,-91.020832622,24.55
"2022-01-01T00:00:00Z",1.93749929600001,-90.979165955,24.53
"2022-01-01T00:00:00Z",1.93749929600001,-90.937499288,24.99
"2022-01-01T00:00:00Z",1.93749929600001,-90.895832621,25.315
"2022-01-01T00:00:00Z",1.93749929600001,-90.854165954,25.125
"2022-01-01T00:00:00Z",1.93749929600001,-90.812499287,25.285
"2022-01-01T00:00:00Z",1.93749929600001,-90.77083262,25.34
"2022-01-01T00:00:00Z",1.93749929600001,-90.729165953,25.38
"2022-01-01T00:00:00Z",1.93749929600001,-90.687499286,24.995
"2022-01-01T00:00:00Z",1.93749929600001,-90.645832619,25.005
"2022-01-01T00:00:00Z",1.93749929600001,-90.604165952,26.095
"2022-01-01T00:00:00Z",1.93749929600001,-90.562499285,24.525
"2022-01-01T00:00:00Z",1.93749929600001,-90.520832618,24.445
"2022-01-01T00:00:00Z",1.93749929600001,-90.479165951,24.3
"2022-01-01T00:00:00Z",1.93749929600001,-90.437499284,24.265
"2022-01-01T00:00:00Z",1.93749929600001,-90.395832617,24.23
"2022-01-01T00:00:00Z",1.93749929600001,-90.35416595,24.155
"2022-01-01T00:00:00Z",1.93749929600001,-90.312499283,24.015
"2022-01-01T00:00:00Z",1.93749929600001,-90.270832616,24.7
"2022-01-01T00:00:00Z",1.93749929600001,-90.229165949,24.74
"2022-01-01T00:00:00Z",1.93749929600001,-90.187499282,24.88
"2022-01-01T00:00:00Z",1.93749929600001,-90.145832615,24.79
"2022-01-01T00:00:00Z",1.93749929600001,-90.104165948,24.8
"2022-01-01T00:00:00Z",1.93749929600001,-90.062499281,25.045
"2022-01-01T00:00:00Z",1.93749929600001,-90.020832614,25.415
"2022-01-01T00:00:00Z",1.93749929600001,-89.979165947,24.375
"2022-01-01T00:00:00Z",1.93749929600001,-89.93749928,24.535
"2022-01-01T00:00:00Z",1.93749929600001,-89.895832613,24.52
"2022-01-01T00:00:00Z",1.93749929600001,-89.854165946,24.45
"2022-01-01T00:00:00Z",1.93749929600001,-89.812499279,24.49
"2022-01-01T00:00:00Z",1.93749929600001,-89.770832612,24.67
"2022-01-01T00:00:00Z",1.93749929600001,-89.729165945,24.76
"2022-01-01T00:00:00Z",1.93749929600001,-89.687499278,24.755
"2022-01-01T00:00:00Z",1.93749929600001,-89.645832611,24.765
"2022-01-01T00:00:00Z",1.93749929600001,-89.604165944,24.765
"2022-01-01T00:00:00Z",1.93749929600001,-89.562499277,24.675
"2022-01-01T00:00:00Z",1.93749929600001,-89.52083261,24.655
"2022-01-01T00:00:00Z",1.93749929600001,-89.479165943,24.875
"2022-01-01T00:00:00Z",1.93749929600001,-89.437499276,25.11
"2022-01-01T00:00:00Z",1.93749929600001,-89.395832609,24.64
"2022-01-01T00:00:00Z",1.93749929600001,-89.354165942,24.37
"2022-01-01T00:00:00Z",1.93749929600001,-89.312499275,24.78
"2022-01-01T00:00:00Z",1.93749929600001,-89.270832608,24.47
"2022-01-01T00:00:00Z",1.93749929600001,-89.229165941,24.485
"2022-01-01T00:00:00Z",1.93749929600001,-89.187499274,24.475
"2022-01-01T00:00:00Z",1.93749929600001,-89.145832607,24.605
"2022-01-01T00:00:00Z",1.93749929600001,-89.10416594,24.45
"2022-01-01T00:00:00Z",1.93749929600001,-89.062499273,25.015
"2022-01-01T00:00:00Z",1.93749929600001,-89.020832606,25.04
"2022-01-01T00:00:00Z",1.89583262900001,-92.02083263,24.705
"2022-01-01T00:00:00Z",1.89583262900001,-91.979165963,24.765
"2022-01-01T00:00:00Z",1.89583262900001,-91.937499296,24.585
"2022-01-01T00:00:00Z",1.89583262900001,-91.895832629,24.395
"2022-01-01T00:00:00Z",1.89583262900001,-91.854165962,24.39
"2022-01-01T00:00:00Z",1.89583262900001,-91.812499295,24.395
